document_credit_no,date_of_issue,applicant,beneficiary,currency_amount,available_with,drafts_at,drawee,partial_shipments,transshipment,port_of_loading,port_of_discharge,latest_shipment_date,goods_description,documents_required,additional_conditions,charges,presentation_period,confirmation,negotiating_bank_instructions,advise_through,goods_quantity,goods_price,goods_incoterm
LC-001,2025-07-01,ABC Corp,XYZ Ltd,USD 50000,Bank A,Sight,Bank B,Allowed,Not Allowed,Mumbai,Dubai,2025-07-20,Steel Rods,Invoice, Packing List,None,As per agreement,21 days,Without,Instructions here,Bank C,1000,50.00,FOB
LC-002,2025-07-02,Tech Ltd,Widgets Inc,EUR 45000,Bank X,30 Days,Bank Y,Not Allowed,Allowed,Chennai,Rotterdam,2025-07-22,Electric Motors,B/L, CO,Condition A,Shared,15 days,Confirmed,Instructions B,Bank D,500,90.00,CIF
LC-003,2025-07-03,Indo Traders,Exporters Ltd,INR 1000000,Bank C,Sight,Bank D,Allowed,Allowed,Kolkata,Singapore,2025-07-25,Textiles,Invoice only,None,At buyer's cost,10 days,Without,None,Bank Z,200,200.00,EXW
LC-004,2025-07-04,Power Pvt Ltd,Energy Inc,USD 150000,Bank M,60 Days,Bank N,Not Allowed,Not Allowed,Mumbai,Hamburg,2025-07-28,Cables & Wires,Invoice, Packing,Condition B,Split,12 days,Without,As per instruction,Bank F,300,75.00,FOB
LC-005,2025-07-05,Agro Corp,Foodies Ltd,USD 75000,Bank R,Sight,Bank S,Allowed,Not Allowed,Chennai,Doha,2025-08-01,Processed Food,Invoice, CO,None,As per LC,25 days,Confirmed,Instructions here,Bank Q,150,45.00,CIF
LC-006,2025-07-06,Global Textiles,Euro Exports,EUR 120000,Bank L,30 Days,Bank K,Allowed,Allowed,Ahmedabad,London,2025-08-05,Fabric Rolls,Invoice, Packing,None,Split cost,30 days,Without,None,Bank T,700,60.00,FOB
LC-007,2025-07-07,Auto Machines,Drive Inc,USD 200000,Bank G,90 Days,Bank H,Not Allowed,Allowed,Pune,Osaka,2025-08-10,Machine Parts,Invoice, BL,None,Shared,18 days,Confirmed,Instruction Set,Bank R,400,500.00,CIF
LC-008,2025-07-08,Sunrise Ltd,Sunshine Imports,USD 60000,Bank B,Sight,Bank C,Allowed,Allowed,Hyderabad,Bangkok,2025-08-12,Cosmetics,Invoice,None,At buyer risk,20 days,Without,None,Bank S,600,30.00,EXW
LC-009,2025-07-09,Build Tech,Infra Ltd,USD 130000,Bank Z,60 Days,Bank Y,Not Allowed,Allowed,Nagpur,Kuwait,2025-08-15,Construction Material,Invoice, Packing,List all docs,Joint,17 days,Confirmed,Instruction X,Bank M,800,120.00,FOB
LC-010,2025-07-10,Delta Corp,Gamma Ltd,USD 95000,Bank V,Sight,Bank W,Allowed,Not Allowed,Delhi,Abu Dhabi,2025-08-18,Chemical Supplies,Invoice, CO,None,By applicant,14 days,Without,Guidelines here,Bank L,250,70.00,CIF
